,Fecha de muerte,Fecha recuperado,Fecha diagnostico
2020-03-06,,,1
2020-03-09,,,3
2020-03-11,,,9
2020-03-12,,,14
2020-03-13,,1.0,19
2020-03-14,,2.0,37
2020-03-15,,3.0,53
2020-03-16,1.0,,67
2020-03-17,,4.0,92
2020-03-18,,,104
2020-03-19,,5.0,130
2020-03-20,,7.0,178
2020-03-21,,11.0,212
2020-03-22,2.0,14.0,241
2020-03-23,3.0,23.0,314
2020-03-24,4.0,34.0,419
2020-03-25,8.0,47.0,480
2020-03-26,10.0,64.0,490
2020-03-27,13.0,82.0,539
2020-03-28,18.0,114.0,608
2020-03-29,19.0,143.0,702
2020-03-30,24.0,178.0,798
2020-03-31,29.0,207.0,905
2020-04-01,33.0,240.0,1065
2020-04-02,40.0,273.0,1161
2020-04-03,53.0,309.0,1266
2020-04-04,68.0,350.0,1406
2020-04-05,76.0,371.0,1485
2020-04-06,88.0,396.0,1579
2020-04-07,96.0,422.0,1708
2020-04-08,101.0,466.0,2054
2020-04-09,113.0,511.0,2223
2020-04-10,118.0,560.0,2474
2020-04-11,126.0,614.0,2709
2020-04-12,138.0,708.0,2776
2020-04-13,145.0,805.0,2852
2020-04-14,156.0,885.0,2978
2020-04-15,168.0,983.0,3103
2020-04-16,184.0,1057.0,3231
2020-04-17,189.0,1110.0,3436
2020-04-18,201.0,1166.0,3619
2020-04-19,210.0,1239.0,3794
2020-04-20,219.0,1323.0,3976
2020-04-21,228.0,1408.0,4147
2020-04-22,237.0,1496.0,4340
2020-04-23,247.0,1599.0,4535
2020-04-24,261.0,1688.0,4839
2020-04-25,271.0,1791.0,5101
2020-04-26,289.0,1884.0,5338
2020-04-27,300.0,1972.0,5556
2020-04-28,311.0,2075.0,5910
2020-04-29,331.0,2204.0,6171
2020-04-30,356.0,2265.0,6467
2020-05-01,367.0,2377.0,6968
2020-05-02,387.0,2500.0,7246
2020-05-03,406.0,2597.0,7669
2020-05-04,426.0,2736.0,7976
2020-05-05,441.0,3034.0,8617
2020-05-06,464.0,3254.0,8964
2020-05-07,490.0,3410.0,9461
2020-05-08,508.0,3566.0,10056
2020-05-09,526.0,3760.0,10500
2020-05-10,543.0,3920.0,11068
2020-05-11,572.0,4143.0,11619
2020-05-12,584.0,4283.0,12278
2020-05-13,598.0,4507.0,12937
2020-05-14,618.0,4641.0,13619
2020-05-15,639.0,4846.0,14225
2020-05-16,659.0,5048.0,14950
2020-05-17,683.0,5191.0,15589
2020-05-18,710.0,5383.0,16307
2020-05-19,740.0,5577.0,16948
2020-05-20,770.0,5824.0,17725
2020-05-21,796.0,6102.0,18370
2020-05-22,834.0,6364.0,19175
2020-05-23,872.0,6577.0,20192
2020-05-24,911.0,6876.0,21194
2020-05-25,937.0,7156.0,21995
2020-05-26,979.0,7508.0,23021
2020-05-27,1009.0,7830.0,24124
2020-05-28,1047.0,8190.0,25381
2020-05-29,1090.0,8521.0,27548
2020-05-30,1140.0,8736.0,29099
2020-05-31,1184.0,10601.0,30247
2020-06-01,1227.0,10921.0,31373
2020-06-02,1279.0,12320.0,32664
2020-06-03,1344.0,13366.0,34175
2020-06-04,1395.0,14011.0,35892
2020-06-05,1453.0,14923.0,37360
2020-06-06,1500.0,15387.0,38711
2020-06-07,1552.0,16369.0,39908
2020-06-08,1612.0,17441.0,41364
2020-06-09,1672.0,17909.0,42734
2020-06-10,1719.0,18931.0,44347
2020-06-11,1764.0,19475.0,46270
2020-06-12,1814.0,20227.0,47509
2020-06-13,1851.0,20740.0,49664
2020-06-14,1902.0,20997.0,51883
2020-06-15,1942.0,21115.0,53508
2020-06-16,1970.0,21223.0,55751
2020-06-17,1997.0,21874.0,57245
2020-06-18,2002.0,22591.0,60217
